country,gender,age,year
VEN,žena,<10; 15),2023
VEN,žena,<35; 40),2023
VEN,žena,<60; 65),2023
YEM,žena,<25; 30),2023
YEM,žena,<45; 50),2023
YEM,žena,<50; 55),2023
YEM,žena,<65; 70),2023
NAM,muž,<45; 50),2023
PHL,muž,<0; 5),2023
PHL,muž,<15; 20),2023
PHL,muž,<20; 25),2023
PHL,muž,<50; 55),2023
ARG,žena,<15; 20),2023
ARG,žena,<45; 50),2023
KHM,muž,<30; 35),2023
ZWE,muž,<20; 25),2023
ZWE,muž,<45; 50),2023
KHM,žena,<20; 25),2023
KHM,žena,<25; 30),2023
KWT,muž,<50; 55),2023
BOL,žena,<25; 30),2023
BOL,žena,<35; 40),2023
CIV,žena,<10; 15),2023
GMB,muž,<55; 60),2023
IDN,muž,<0; 5),2023
IDN,muž,<60; 65),2023
TZA,muž,<10; 15),2023
CYP,muž,<30; 35),2023
CYP,muž,<45; 50),2023
CYP,muž,<75; 80),2023
GAB,muž,<40; 45),2023
PSE,muž,<35; 40),2023
DZA,žena,<70; 75),2023
AZE,žena,<5; 10),2023
AZE,žena,<20; 25),2023
GTM,žena,<35; 40),2023
GTM,žena,<40; 45),2023
MUS,žena,<45; 50),2023
COD,žena,<40; 45),2023
COD,žena,<45; 50),2023
COD,žena,<50; 55),2023
COD,žena,<55; 60),2023
PRY,muž,<35; 40),2023
PRY,muž,<40; 45),2023
PRY,muž,<50; 55),2023
MLT,žena,<35; 40),2023
TCD,muž,<45; 50),2023
OMN,muž,<20; 25),2023
ARE,muž,<45; 50),2023
UGA,muž,<15; 20),2023
ECU,žena,<20; 25),2023
ECU,žena,<35; 40),2023
NPL,žena,<20; 25),2023
EGY,žena,<10; 15),2023
CRI,žena,<15; 20),2023
CRI,žena,<45; 50),2023
CRI,žena,<60; 65),2023
CPV,muž,<40; 45),2023
ZWE,žena,<40; 45),2023
BFA,muž,<30; 35),2023
MLT,muž,<45; 50),2023
MLT,muž,<55; 60),2023
PSE,žena,<25; 30),2023
PSE,žena,<30; 35),2023
GIN,žena,<20; 25),2023
GIN,žena,<30; 35),2023
TUN,žena,<5; 10),2023
TUN,žena,<75; 80),2023
CMR,žena,<50; 55),2023
PRY,žena,<40; 45),2023
HTI,muž,<45; 50),2023
CPV,žena,<15; 20),2023
PAN,žena,<45; 50),2023
SYC,žena,<20; 25),2023
MOZ,muž,<40; 45),2023
GRD,muž,<0; 5),2023
GRD,muž,<35; 40),2023
RWA,žena,<20; 25),2023
